LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
POL,LTINT,TOT,PC_PA,M,2010-04,5.57,
POL,LTINT,TOT,PC_PA,M,2010-05,5.72,
POL,LTINT,TOT,PC_PA,M,2010-06,5.87,
POL,LTINT,TOT,PC_PA,M,2010-07,5.84,
POL,LTINT,TOT,PC_PA,M,2010-08,5.62,
POL,LTINT,TOT,PC_PA,M,2010-09,5.49,
POL,LTINT,TOT,PC_PA,M,2010-10,5.53,
POL,LTINT,TOT,PC_PA,M,2010-11,5.82,
POL,LTINT,TOT,PC_PA,M,2010-12,5.98,
POL,LTINT,TOT,PC_PA,M,2011-01,6.26,
POL,LTINT,TOT,PC_PA,M,2011-02,6.26,
POL,LTINT,TOT,PC_PA,M,2011-03,6.27,
POL,LTINT,TOT,PC_PA,M,2011-04,6.14,
POL,LTINT,TOT,PC_PA,M,2011-05,6.06,
POL,LTINT,TOT,PC_PA,M,2011-06,5.88,
POL,LTINT,TOT,PC_PA,M,2011-07,5.81,
POL,LTINT,TOT,PC_PA,M,2011-08,5.7,
POL,LTINT,TOT,PC_PA,M,2011-09,5.74,
POL,LTINT,TOT,PC_PA,M,2011-10,5.71,
POL,LTINT,TOT,PC_PA,M,2011-11,5.797,
POL,LTINT,TOT,PC_PA,M,2011-12,5.84,
POL,LTINT,TOT,PC_PA,M,2012-01,5.68,
POL,LTINT,TOT,PC_PA,M,2012-02,5.4557,
